DT_DEBUT_MOIS,ID_REGN_ADMIN,CD_PLAGE_PRIX,CD_NATR_ACTE_JURDQ,NB_REQST
2021-03-01,"06","2","001",1229
2021-03-01,"06","3","001",1382
2021-03-01,"07","1","001",620
2021-03-01,"07","2","001",392
2021-03-01,"07","3","001",132
2021-03-01,"08","1","001",242
2021-03-01,"08","2","001",55
2021-03-01,"08","3","001",10
2021-03-01,"09","1","001",106
2021-03-01,"09","2","001",15
2021-03-01,"09","3","001",4
2021-03-01,"11","1","001",278
2021-03-01,"11","2","001",23
2021-03-01,"11","3","001",1
2021-03-01,"12","1","001",943
2021-03-01,"12","2","001",196
2021-03-01,"12","3","001",58
2021-03-01,"13","1","001",133
2021-03-01,"13","2","001",379
2021-03-01,"13","3","001",217
2021-03-01,"14","1","001",902
2021-03-01,"14","2","001",515
2021-03-01,"14","3","001",138
2021-03-01,"15","1","001",1332
2021-03-01,"15","2","001",1012
2021-03-01,"15","3","001",393
2021-03-01,"16","1","001",1525
2021-03-01,"16","2","001",1594
2021-03-01,"16","3","001",725
2021-03-01,"17","1","001",429
2021-03-01,"17","2","001",125
2021-03-01,"17","3","001",48
2021-04-01,"01","1","001",486
2021-04-01,"01","2","001",81
2021-04-01,"01","3","001",20
2021-04-01,"02","1","001",757
2021-04-01,"02","2","001",159
2021-04-01,"02","3","001",21
2021-04-01,"03","1","001",1114
2021-04-01,"03","2","001",797
2021-04-01,"03","3","001",194
2021-04-01,"04","1","001",678
2021-04-01,"04","2","001",121
2021-04-01,"04","3","001",23
2021-04-01,"05","1","001",688
2021-04-01,"05","2","001",300
2021-04-01,"05","3","001",125
2021-04-01,"06","1","001",322
2021-04-01,"06","2","001",1384
2021-04-01,"06","3","001",1441
2021-04-01,"07","1","001",703
2021-04-01,"07","2","001",521
2021-04-01,"07","3","001",157
2021-04-01,"08","1","001",262
2021-04-01,"08","2","001",107
2021-04-01,"08","3","001",19
2021-04-01,"09","1","001",141
2021-04-01,"09","2","001",27
2021-04-01,"09","3","001",3
2021-04-01,"11","1","001",268
2021-04-01,"11","2","001",25
2021-04-01,"11","3","001",6
2021-04-01,"12","1","001",979
2021-04-01,"12","2","001",280
2021-04-01,"12","3","001",68
2021-04-01,"13","1","001",111
2021-04-01,"13","2","001",368
2021-04-01,"13","3","001",234
2021-04-01,"14","1","001",986
2021-04-01,"14","2","001",707
2021-04-01,"14","3","001",185
2021-04-01,"15","1","001",1322
2021-04-01,"15","2","001",1219
2021-04-01,"15","3","001",506
2021-04-01,"16","1","001",1441
2021-04-01,"16","2","001",2064
2021-04-01,"16","3","001",941
2021-04-01,"17","1","001",538
2021-04-01,"17","2","001",191
2021-04-01,"17","3","001",46
2021-05-01,"01","1","001",566
2021-05-01,"01","2","001",122
2021-05-01,"01","3","001",16
2021-05-01,"02","1","001",811
2021-05-01,"02","2","001",190
2021-05-01,"02","3","001",19
2021-05-01,"03","1","001",1257
2021-05-01,"03","2","001",1102
2021-05-01,"03","3","001",234
2021-05-01,"04","1","001",799
2021-05-01,"04","2","001",187
2021-05-01,"04","3","001",35
2021-05-01,"05","1","001",717
2021-05-01,"05","2","001",402
2021-05-01,"05","3","001",109
2021-05-01,"06","1","001",349
2021-05-01,"06","2","001",1487
2021-05-01,"06","3","001",1662
2021-05-01,"07","1","001",741
2021-05-01,"07","2","001",570
2021-05-01,"07","3","001",189
2021-05-01,"08","1","001",352
2021-05-01,"08","2","001",141
2021-05-01,"08","3","001",21
2021-05-01,"09","1","001",158
2021-05-01,"09","2","001",32
2021-05-01,"09","3","001",3
2021-05-01,"11","1","001",315
2021-05-01,"11","2","001",19
2021-05-01,"12","1","001",1017
